,Site,mois,Année,Date,E.coli ,E.coli_qualite,°C,ppt,%,pH
3287,B6,9,2003,9/1/2003,10,Bonne,21.99,37.97,101.6,8.1
3297,B1,9,2003,9/8/2003,0,Bonne,23.7,38.16,91.3,8.09
3298,B2,9,2003,9/8/2003,10,Bonne,23.88,38.21,63,7.98
3299,B3,9,2003,9/8/2003,21,Bonne,23.83,38.19,73.6,8.03
3301,B4,9,2003,9/8/2003,0,Bonne,23.79,38.17,83.7,8.06
3302,B5,9,2003,9/8/2003,10,Bonne,23.83,38.05,72.2,8.02
3303,B6,9,2003,9/8/2003,0,Bonne,23.77,38.18,67.9,8.01
3313,B1,9,2003,9/16/2003,0,Bonne,23.03,38.14,95.5,8.11
3314,B2,9,2003,9/16/2003,21,Bonne,22.85,38.24,84.5,8.05
3315,B3,9,2003,9/16/2003,0,Bonne,22.97,38.21,89.9,8.1
3317,B4,9,2003,9/16/2003,0,Bonne,23.06,38.22,95.9,8.12
3318,B5,9,2003,9/16/2003,32,Bonne,22.77,38.24,88.2,8.09
3319,B6,9,2003,9/16/2003,0,Bonne,22.93,38.22,88.7,8.09
3329,B1,9,2003,9/22/2003,0,Bonne,22.86,38.15,98,8.13
3330,B2,9,2003,9/22/2003,10,Bonne,22.72,38.06,73.2,8.02
3331,B3,9,2003,9/22/2003,10,Bonne,22.91,38.05,88.3,8.09
3333,B4,9,2003,9/22/2003,0,Bonne,22.71,38.14,92.9,8.11
3334,B5,9,2003,9/22/2003,10,Bonne,22.68,38.07,84.9,8.07
3335,B6,9,2003,9/22/2003,0,Bonne,22.75,38.11,79.6,8.05
3345,B1,9,2003,9/29/2003,0,Bonne,22.31,38.3,91.6,8.06
3346,B2,9,2003,9/29/2003,0,Bonne,22.26,38.27,83.7,8.01
3347,B3,9,2003,9/29/2003,10,Bonne,22.07,38.25,86.8,8
3349,B4,9,2003,9/29/2003,0,Bonne,22.3,38.3,91.2,8.05
3350,B5,9,2003,9/29/2003,0,Bonne,22.16,38.28,87,8.03
3351,B6,9,2003,9/29/2003,0,Bonne,22.15,38.26,84.8,8.01
3361,B1,10,2003,10/27/2003,0,Bonne,17.56,38.31,95.9,8.03
3362,B2,10,2003,10/27/2003,0,Bonne,17.59,38.24,94.1,8
3363,B3,10,2003,10/27/2003,10,Bonne,17.57,37.87,93.2,8.02
3365,B4,10,2003,10/27/2003,0,Bonne,17.74,38.24,96.3,8.04
3366,B5,10,2003,10/27/2003,10,Bonne,17.57,38.23,96.3,8.02
3367,B6,10,2003,10/27/2003,0,Bonne,17.52,38.27,92,8.02
